record,statistic,p.value
is_attributed,1,0
os,0.8348558,0
ip,0.8317342,0
app60s,0.825381,0
app30s,0.8248684,0
app10s,0.8223844,0
app3s,0.8171714,0
appIp3s,0.8147343,0
appDevice10s,0.8107686,0
app1s,0.8041582,0
appOs3s,0.7994021,0
appChannel10s,0.7947125,0
channel60s,0.7870565,0
channel30s,0.7831782,0
channelIp3s,0.7752722,0
channel10s,0.7708667,0
channelApp10s,0.7542602,0
channel3s,0.7496446,0
channelOs3s,0.7439449,0
osIp10s,0.7230294,0
channel1s,0.7154397,0
ipApp10s,0.7001914,0
appChannel3s,0.6828623,0
appAttrib,0.6081962,0
appOs10s,0.5753886,0
appDevice3s,0.555409,0
channelApp3s,0.4456003,0
ipApp3s,0.4083404,0
ipChannel3s,0.4014085,0
ip10s,0.3927343,0
channelAttrib,0.3916863,0
ip30s,0.3839658,0
ip60s,0.3833893,0
channelDevice3s,0.3389678,0
ip3s,0.3271788,0
ipDevice10s,0.3271055,0
hour,0.3181405,0
channelOs10s,0.2939092,0
ip1s,0.2711585,0
device,0.2556212,0
ipAttrib,0.2495367,0
channelDevice10s,0.2322675,0
os60s,0.2111867,0
os10s,0.2102879,0
os30s,0.2095543,0
osIp3s,0.2094698,0
os3s,0.20851,0
osApp10s,0.2073755,0
os1s,0.2037835,0
deviceIp1s,0.1937794,0
osChannel3s,0.1935688,0
click_time,0.1876245,0
osApp3s,0.1870058,0
osDevice10s,0.1853209,0
device60s,0.1656989,0
device10s,0.1656979,0
device30s,0.1656968,0
app,0.1651549,0
device3s,0.1648582,0
deviceApp1s,0.1620189,0
device1s,0.1615239,0
deviceOs1s,0.1568828,0
appIp10s,0.1558487,0
deviceChannel1s,0.1557464,0
osAttrib,0.1107258,0
deviceAttrib,0.1099316,0
ipOs3s,0.09648564,0
osDevice3s,0.08063194,0
ipChannel10s,0.06148547,5.26E-11
osChannel10s,0.04393316,7.94E-06
ipDevice3s,0.02931025,0.007886017
ipOs10s,0.01548362,0.4225468
hourAttrib,0.0139478,0.5577003
channel,0.0139478,0.5577003
channelIp10s,0,0
